# Catálogo de ladas de México (código de área). Formato: codigo|ubicacion
# Puedes agregar/editar líneas según necesites.
33|Guadalajara, Jalisco
55|Ciudad de México
56|Ciudad de México
81|Monterrey, Nuevo León
221|Puebla (norte)
222|Puebla
224|Puebla (zona)
225|Puebla
226|Puebla (Atlixco)
227|Puebla (Tehuacán)
229|Veracruz (Boca del Río)
231|Puebla (Ciudad Serdán)
232|Puebla (Teziutlán)
236|Puebla (Acatlán)
237|Puebla (Izúcar de Matamoros)
238|Puebla (zona)
245|Puebla (Tepeaca)
246|Puebla (Huauchinango)
247|Tlaxcala
248|Tlaxcala
249|Puebla
271|Veracruz (Córdoba)
272|Veracruz (Orizaba)
273|Veracruz (zona)
274|Veracruz (zona)
278|Veracruz (Veracruz)
279|Veracruz (zona)
281|Veracruz (Poza Rica)
282|Veracruz (Tuxpan)
284|Veracruz (zona)
285|Veracruz (zona)
286|Veracruz (zona)
288|Veracruz (Cosamaloapan)
294|Veracruz (zona)
296|Veracruz (San Andrés Tuxtla)
297|Veracruz (zona)
311|Nayarit (Tepic)
319|Nayarit (zona)
322|Nayarit (Puerto Vallarta, edos. vecinos)
323|Nayarit (zona)
324|Nayarit (zona)
325|Nayarit (zona)
327|Nayarit (zona)
328|Nayarit (zona)
331|Nayarit (zona)
341|Jalisco (zona)
342|Jalisco (zona)
343|Jalisco (zona)
344|Jalisco (zona)
345|Jalisco (zona)
346|Jalisco (zona)
347|Jalisco (zona)
348|Jalisco (zona)
349|Jalisco (zona)
351|Jalisco (zona)
352|Jalisco (zona)
353|Jalisco (zona)
354|Jalisco (zona)
355|Jalisco (zona)
357|Jalisco (zona)
358|Jalisco (zona)
371|Jalisco (zona)
372|Jalisco (zona)
374|Jalisco (zona)
375|Jalisco (zona)
376|Jalisco (zona)
377|Jalisco (zona)
378|Jalisco (zona)
384|Jalisco (zona)
385|Jalisco (zona)
387|Jalisco (zona)
388|Jalisco (zona)
389|Jalisco (zona)
392|Jalisco (zona)
394|Jalisco (zona)
395|Jalisco (zona)
434|Michoacán (zona)
436|Michoacán (zona)
442|Querétaro
443|Morelia, Michoacán
452|Michoacán (Uruapan)
453|Michoacán (zona)
454|Michoacán (zona)
456|Michoacán (zona)
461|Guanajuato (Celaya)
462|Guanajuato (Irapuato)
464|Guanajuato (Salamanca)
465|Guanajuato (zona)
466|Guanajuato (zona)
467|Guanajuato (Salvatierra)
468|Guanajuato (San Miguel de Allende)
469|Guanajuato (zona)
473|Guanajuato (León)
476|Guanajuato (San Felipe)
477|Guanajuato (León)
478|Guanajuato (zona)
485|San Luis Potosí (zona)
486|San Luis Potosí (zona)
487|San Luis Potosí (zona)
488|San Luis Potosí (zona)
489|San Luis Potosí (zona)
492|Zacatecas
493|Zacatecas (zona)
494|Zacatecas (zona)
495|Zacatecas (zona)
496|Zacatecas (zona)
498|Zacatecas (zona)
499|Zacatecas (zona)
612|Baja California Sur (La Paz)
613|Baja California Sur (zona)
615|Baja California Sur (zona)
622|Sonora (Guaymas)
624|Baja California Sur (Los Cabos)
625|Chihuahua (Cuaauhtémoc)
626|Baja California Sur / Chihuahua (zona)
631|Sonora (zona)
632|Sonora (zona)
633|Sonora (Puerto Peñasco)
634|Sonora (zona)
635|Chihuahua (zona)
636|Chihuahua (zona)
637|Sonora (zona norte)
638|Sonora (zona)
639|Sonora (zona)
641|Sonora (zona)
642|Sonora (zona)
643|Sonora (zona)
644|Sonora (Cd. Obregón)
645|Sonora (zona)
647|Sonora (zona)
649|Sonora (zona)
651|Sonora (zona)
